abbreviate abridge
abdicate renounce
abhor loathe
abide bide
accelerate quicken
accentuate emphasize
accuse impeach
accuse incriminate
achieve attain
acquit exonerate
adopt espouse
adorn decorate
agree concur
amaze astonish
amaze astound
ameliorate improve
amplify magnify
annihilate decimate
annoy irritate
annoy vex
annul nullify
apprehend comprehend
apprise notify
assume presume
astonish astound
baptize christen
behead decapitate
beset harass
calculate compute
castigate chastise
chasten chastise
compel oblige
compete vie
complicate perplex
conciliate pacify
condemn decry
confirm corroborate
confirm substantiate
confound confuse
conquer suppress
contaminate pollute
corroborate substantiate
debase demoralize
deceive delude
dedicate devote
deduce infer
deduct subtract
deface disfigure
defer postpone
defy withstand
condescend deign
deter discourage
dilate distend
disable incapacitate
disallow forbid
disclose divulge
disinherit disown
dismantle raze
belittle disparage
disseminate propagate
distort falsify
edify enlighten
elicit kindle
elicit evoke
elude evade
enact ordain
encourage promote
encroach infringe
engrave inscribe
conjure entreat
eschew shun
circumvent evade
evaporate vaporize
exaggerate overstate
exaggerate overdraw
exalt extol
exalt glorify
extol glorify
filch pilfer
forbid prohibit
forbid proscribe
foreshadow foretell
fortify strengthen
freshen refresh
furnish provide
glean reap
hanker yearn
happen occur
humiliate mortify
imbue pervade
imitate simulate
imprison incarcerate
inhabit populate
inhibit suppress
irritate vex
meditate ponder
meditate ruminate
misconstrue misunderstand
mollify pacify
mystify perplex
nauseate sicken
necessitate require
outlast outlive
permeate pervade
ponder ruminate
foretell portend
foretell predict
prohibit proscribe
quench slake
allay quench
react respond
recant retract
regain retrieve
renounce repudiate
annul rescind
resign vacate
renounce resign
resound reverberate
reveal uncover
revile vilify
roam wander
shrivel wither
allay slake
stun stupefy
supersede supplant
inoculate vaccinate
